# artistid|name
# http://modarchive.org/index.php?request=view_artist_roster&page=1#mods
68882|SkunkBomb
69273|skupe
69503|skuter
81539|skyline
69092|skyrunner
69154|slam
69519|slammy
69150|slash
84856|slashz
84126|Slavetoneffy
69524|Sleipner
69342|slippingaway
84668|smart
69409|SmarTech
69544|smiker
68866|SmiL
81092|SmileySmile
81756|Smiling Plaguez
68947|smirk
81707|Smoky_scotch
68790|Smurf
83605|sneakerfox
80615|snu
69482|SoDa7
69397|SoggMeadMug
68817|solo
69632|Solution NGS
69437|someone42
80847|Sonicade
# http://modarchive.org/index.php?request=view_artist_roster&page=32#mods
81503|soul eXistence
69227|Soul-H
69410|Soulborn
82629|SoulDragon
69645|Soundtest
85013|sourcekode
80522|Space
69031|Space Walk
69522|Spaceman 7
81781|spark
69110|Spazz
69253|SpeCi
83198|speechless
68941|SpeedLoop
84444|SpexzterDarklite
69151|Sphenx
82083|sphenx2
85250|Splatt Records
68836|St3vor
81406|St4rl3ss
68998|ST:S
69118|stalker
68979|Stamen
69072|Stan
69232|Starboy
83668|Starpath
68746|Stary
69436|steven2851
69487|STiLE
85172|stinkbug
69461|STONE
69549|strobe
69047|Stroggler
68995|STUN
83902|SubBassTragedy
69560|subhuman
69666|subliminal
68809|SubSonic Freak
69006|SubStance
69341|Sunches
# http://modarchive.org/index.php?request=view_artist_roster&page=33#mods
84458|suntripper
68971|Sunvibe
84716|SuperBastard
69429|Supergoose
69199|SuperSharpShooter
84597|SVAr
81752|Sven Darko
84019|SvenDiego
69042|swallow
80333|syntex
69343|Synthetique
80587|syphus
82802|SYSTEMP
69178|t r a n c e x
68831|T-101
69383|T-Dj
81378|T-pix
82976|t-zero
83612|t3hyoshi
83414|tacticalbread
82078|takecha
68822|TaSSu
69459|tato82
68894|TB
68968|tb
68764|tbo
84747|TDK
85397|Teasy Love
83773|Techno Jon
69475|Teendar
82322|Telamon
69407|TemezO
69203|Templar
69257|Teo
81737|TERdON
85343|tet
68869|teXMex
68953|The Alchemist
82686|The Calculus Dragon
69596|The Decomplier
# http://modarchive.org/index.php?request=view_artist_roster&page=34#mods
69059|the Deviant
84037|The Elflord
68756|The Fly
69609|The greatFox
69157|The Jolly Cat
69033|The Mage
81098|The Mod Noob
82208|The Music Wizard
68920|The Nightstalker
68758|The Nuke
69068|The omniscient
85219|The Samplifier
84845|The Shy Hybrid
69039|The Soul Stealer
83618|TheBlackParrot
85011|theEmu
83276|TheoX
69535|thepsalmist
69305|Theresa &Atilde;&amp;#144;orhu&Atilde;&shy;r
81541|Therewolf
84981|Thrax
68923|Thrilla
69491|Tiberious
69189|tigerwookie
69647|Timelord
69324|Timo Petmanson (tim)
69648|Tip / Mantronix
83909|Tipp
69510|Tirk Dogg
69463|Tito
80913|tobbx
80303|toffelskater
81832|toku728
85208|tomaes
84031|TomoAlien
69669|tom_d
81294|tonique
68810|ToR
80410|Torava
69353|Toukka
# http://modarchive.org/index.php?request=view_artist_roster&page=35#mods
68945|tourach
83477|Tpython
84744|Tr4p
85171|tracer
69649|trackZ
69559|trampax
83834|Trancefreak
69386|traXorxL
68779|tripnotize
82038|Tristan Corrales
80392|Trojan Threat Detected
69473|Trustmaster
69395|trx2k5
82904|TsanChungHsu
68986|tsdcroack
68767|TSEC
82009|TSSF
83550|tunners
69099|turkanen
69037|twcool
69336|TwiTerror
68938|Tyler_Dorval
69242|u4ia
68914|uctumi
69456|Ufomies [Marko Kettunen]
68845|UFOPOLI
82260|ulipispirus
69264|Ultrasyd
85120|UltraTrax
69417|umal
69298|umut
69650|Uncle Tom
69428|uncleBen
69361|underdrugs
69236|unlimit
81201|Unstruct
80412|untitled
83411|Urbano83
83019|Urthanhassen
80507|uruzrune
# http://modarchive.org/index.php?request=view_artist_roster&page=36#mods
68892|Utophia
69015|Utopian Future
69352|V.E.M
69149|Vais
82160|Valpo Usta
80332|VampWire Empire
69127|vargard
