# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=1#mods
49363|namebad.mod|4|10
49372|namlyyrs.mod|4|10
49438|natt.xm|4|10
49676|nbetween.it|4|10
49685|nbz-bt99.xm|4|10
49687|nbz-btre.xm|4|10
49690|nbz-btul.xm|4|10
49693|nbz-denc.xm|4|10
49730|nbz-trng.xm|4|10
49638|nb_repli.xm|4|10
49742|nc_dream.it|4|10
49790|nearness.mod|4|10
49793|neayie.xm|4|10
50018|net_cock.xm|4|10
50021|net_tb.xm|4|10
50069|neurofix.s3m|4|10
50118|neverend.xm|4|10
50446|nfskiller.xm|4|10
50601|nighcity.xm|4|10
50798|nightrun.xm|4|10
169449|nikky_boyle_-_artistik_acid_loops.xm|4|10
169857|nim_-_awkward_culture_crossings.it|4|10
50890|ninfaith.xm|4|10
161599|niobyte-frequencydistortion.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=13#mods
48947|nirvana.mod|4|10
112478|nite_trip.mod|4|10
50992|nitro5.xm|4|10
50995|nitro6.xm|4|10
51004|nitro9.xm|4|10
51245|nn-chaos.it|4|10
51419|nobu_skies.it|4|10
51498|nofate.s3m|4|10
51521|noharmdn.mod|4|10
51542|noise.mod|4|10
51545|noise.xm|4|10
51584|nomansland.mod|4|10
51672|nosmall.xm|4|10
51688|nostalgy.xm|4|10
51733|nothinis.it|4|10
128628|no_limits_remix.mod|4|10
51339|no_more.xm|4|10
119659|no_more_war_mlp.mod|4|10
51930|nuke-kck.xm|4|10
138876|nutcracker_2.xm|4|10
52104|nyx-bye.xm|4|10
164745|oberheim_-_loadtune.mod|4|10
50036|obsess.xm|4|10
49839|ocean.mod|4|10
50084|oceanaxi.xm|4|10
50392|olanjo..mod|4|10
50442|oldmem.xm|4|10
50625|one.xm|4|10
120135|open_sesame.mod|4|10
49878|orch.s3m|4|10
89547|orchestral_13_10_96.mod|4|10
154797|outsider-1425.it|4|10
51518|overnigh.xm|4|10
51570|owicked.xm|4|10
154804|owndream.it|4|10
52828|p-egame.xm|4|10
52976|pab_tear.xm|4|10
52985|pab_xes.xm|4|10
53064|pamb.xm|4|10
53127|paperman.mod|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=14#mods
53233|parerr.xm|4|10
53413|patsajak.it|4|10
53542|pbeats.xm|4|10
53488|pb_late.xm|4|10
53507|pb_outta.xm|4|10
53853|pd-icwt.xm|4|10
54297|peace-lo.mod|4|10
54304|peace.xm|4|10
54326|peanuts.xm|4|10
54551|petuh.xm|4|10
54605|ph-echoes.xm|4|10
54629|pha-mp16.xm|4|10
54631|pha-mp8.xm|4|10
54727|pheno8.xm|4|10
54741|phhfsl.xm|4|10
102192|piece_of_mind_theme.mod|4|10
55040|pilotwin.xm|4|10
65420|pip-gelatin.it|4|10
167766|pip-thelamentofthepips.it|4|10
169612|pipeline.it|4|10
55101|piramid.it|4|10
55371|planet.it|4|10
55509|plimputu.xm|4|10
55527|plinko.s3m|4|10
55737|point.xm|4|10
55796|poison42.s3m|4|10
55799|poison43.s3m|4|10
55891|poobear.it|4|10
55911|pop.mod|4|10
149365|popcorn-trance_mix.xm|4|10
116584|pop_shit.mod|4|10
164771|pow_-_perfection.mod|4|10
56296|praelud1.xm|4|10
56471|primirea.xm|4|10
56736|prototyp.xm|4|10
56845|psbmos.xm|4|10
57080|pullers2.xm|4|10
57154|puppets.mod|4|10
57206|pussycat.xm|4|10
52921|p_hazerm.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=15#mods
52785|qot.mod|4|10
52904|quest1.s3m|4|10
108320|quickn_easy.mod|4|10
53274|r-lite.it|4|10
53277|r-lone.xm|4|10
53320|r-u4real.xm|4|10
53345|r41.it|4|10
53490|raahe.xm|4|10
53493|raakka.s3m|4|10
53576|radio.xm|4|10
53582|radiohea.s3m|4|10
53615|rage8bit.xm|4|10
53121|rainriv.s3m|4|10
53757|rainy.xm|4|10
53771|rainyday.mod|4|10
135517|rain_.xm|4|10
53906|ransnack.xm|4|10
54317|realmode.it|4|10
54576|reggdrem.xm|4|10
54641|relax.s3m|4|10
54760|remoteli.it|4|10
54820|republik.xm|4|10
157758|retrobot0r_crazy_beeping.mod|4|10
169507|revolution.it|4|10
165311|rhesus_minus_-_black_or_white.mod|4|10
55619|rn-iloveu.xm|4|10
77223|robocop.mod|4|10
55723|robric07.xm|4|10
65733|robric178.xm|4|10
133573|robric501.xm|4|10
56210|rocketwa.xm|4|10
56360|rokka.mod|4|10
56376|rolerblz.xm|4|10
130095|royal.mod|4|10
57055|rythm12.xm|4|10
54494|s-real.xm|4|10
54505|s-steps.xm|4|10
54520|s.mod|4|10
54234|sadness.mod|4|10
54960|safety.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=16#mods
55167|sampleme.xm|4|10
55260|sarine.s3m|4|10
172281|satellites.xm|4|10
55356|savinah.s3m|4|10
55362|savory.it|4|10
55415|sb-joint.xm|4|10
172246|sbfrzn_hrt.xm|4|10
166532|schiptune.xm|4|10
54269|schub.xm|4|10
55868|scworld.xm|4|10
55910|sdmbrain.xm|4|10
55918|sdmdesti.xm|4|10
56066|sea-cow.xm|4|10
89721|seduction_hc.mod|4|10
56500|serial.xm|4|10
56861|shatter.mod|4|10
54306|short.mod|4|10
57153|shuttle.xm|4|10
57211|silentawakening.xm|4|10
130561|sirkusta_2_02.mod|4|10
57378|sl-med.it|4|10
54329|slowds.mod|4|10
66161|sm-happytrance.it|4|10
57535|smartino.xm|4|10
57553|smoke.xm|4|10
57556|smokewtr.mod|4|10
57559|smonthew.xm|4|10
57633|snusm.xm|4|10
57689|softworl.mod|4|10
57807|sonic-in.mod|4|10
57845|soul_.xm|4|10
57884|sozialt.xm|4|10
146866|sparapaaczci.xm|4|10
130958|speed_chase.mod|4|10
154896|spfly.mod|4|10
58480|spool.mod|4|10
57909|sp_beyon.xm|4|10
59296|starbirt.xm|4|10
59528|start.it|4|10
59649|stay4ever.it|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=17#mods
59716|stdusk.xm|4|10
134395|stop_me_.xm|4|10
161125|strobo_-_star_wars.mod|4|10
60743|sts-tas2.it|4|10
61083|sum.mod|4|10
61593|super_c.mod|4|10
54414|sw-opus1.mod|4|10
131348|swaxicasava2.mod|4|10
62245|sweet.xm|4|10
62471|symouth.xm|4|10
62515|symphsto.mod|4|10
172263|syvalautanen.mod|4|10
54748|s_wave.it|4|10
58175|t-dwb.xm|4|10
58377|t2trance.xm|4|10
58561|takeoff.xm|4|10
165682|talo_-_rhythm_is_a_dancer.mod|4|10
165594|tanigon_-_toki-gaba_fujisaki.xm|4|10
58772|tb303.it|4|10
110145|teamsuzuki-suzy-2.mod|4|10
65754|teapot.xm|4|10
59645|tearsone.xm|4|10
59779|techno.xm|4|10
59790|techno2.xm|4|10
59938|teddy.mod|4|10
60291|temptatn.mod|4|10
60529|terra.it|4|10
79927|tg-map.mod|4|10
131759|thalion.mod|4|10
61556|thelake.xm|4|10
61765|thereis.s3m|4|10
73528|the_bond_theme.s3m|4|10
69854|the_never.s3m|4|10
62311|thresh.s3m|4|10
161787|tm_-_pavane.xm|4|10
64015|track6.xm|4|10
64142|trancema.xm|4|10
64161|tranigma.xm|4|10
77984|trapped_outro.mod|4|10
155872|trauma.stm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=18#mods
162199|traven_-_galaxy.mod|4|10
64272|trilogy3.s3m|4|10
162366|trip20_-_brain.xm|4|10
64282|tripping.s3m|4|10
64291|trn-blst.s3m|4|10
64430|tttchip.it|4|10
64433|tubbie.xm|4|10
67409|tu_otrun.xm|4|10
67427|tu_zoo.xm|4|10
64504|tweak.it|4|10
64531|twins-screamforhelp.mod|4|10
58074|u2.mod|4|10
58129|uax.s3m|4|10
58478|uh.mod|4|10
58036|ultima.mod|4|10
58604|umn_fall.xm|4|10
58669|under.it|4|10
58874|union.xm|4|10
58056|unveiled.mod|4|10
59056|v48.mod|4|10
59393|vaso-gdg.xm|4|10
59484|vdmegamx.xm|4|10
132782|verstaerkungsring.mod|4|10
60002|victory.mod|4|10
88643|vikingchild-prophecy1.mod|4|10
60412|virus1.mod|4|10
60800|vomit.mod|4|10
168350|vtecheat.xm|4|10
61574|vty.mod|4|10
61646|vxjbyngh.mod|4|10
59071|v_diamond.xm|4|10
59084|v_filwy.xm|4|10
59092|v_hard.it|4|10
59096|v_ilsig.it|4|10
59100|v_night.xm|4|10
60109|wait4u.xm|4|10
60219|walking.xm|4|10
110810|warm_up_menu.mod|4|10
146140|water_colour.xm|4|10
61129|wc_bog.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=19#mods
61453|wc_life.xm|4|10
61542|wc_nymph.xm|4|10
169989|welcomeredwarrior.xm|4|10
68454|westscal.mod|4|10
136625|whales.xm|4|10
68726|winter-1760.it|4|10
158726|wireman_-_wedding_march.xm|4|10
63264|wiseguy.xm|4|10
68725|wow-1811.it|4|10
63711|wowm.xm|4|10
164572|w_inhand.xm|4|10
60047|w_t_p.xm|4|10
62061|x-memory.xm|4|10
62091|x-rd.xm|4|10
62143|x5tjm.it|4|10
62216|xcentric.xm|4|10
62258|xeno.xm|4|10
62527|xl_adim2.it|4|10
62548|xl_eagl2.it|4|10
62558|xl_groov.it|4|10
62733|xmasrab.xm|4|10
62691|xmas_pud.mod|4|10
62649|xm_fresh.xm|4|10
62841|xps_int2.xm|4|10
169667|xqe_unfi.xm|4|10
63078|xtcracer.mod|4|10
62178|x_icu.xm|4|10
62472|yabolvo.mod|4|10
62480|yahoo.xm|4|10
62659|yeamesmt.mod|4|10
165652|yesso_-_pouet.it|4|10
63485|zadde.xm|4|10
63567|zapopc.mod|4|10
63677|zelesiak.xm|4|10
101285|zero-mix-volume-5.mod|4|10
63220|zikend.mod|4|10
32335|_fmblng_.s3m|4|10
32337|_lost.xm|4|10
32338|_moon.xm|4|10
51501|_nofate.s3m|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=20#mods
32342|_pyromod.mod|4|10
32353|_warhawk.xm|4|10
